1	608
2	561
6	287
234	5
772	2
432	6
522	662
320	12
381	638
590	23
239	837
633	31
576	32
155	38
418	45
347	48
195	59
367	60
698	63
813	145
407	79
212	742
498	102
663	103
214	104
326	138
543	109
360	127
321	132
592	137
236	153
423	535
257	158
816	165
106	168
432	174
396	177
700	179
714	183
100	189
125	603
709	194
148	197
754	198
86	205
143	209
72	640
710	226
539	228
354	245
9	867
540	259
722	260
434	262
778	277
682	282
708	284
285	287
579	291
503	300
644	303
856	324
99	306
651	307
612	312
498	327
505	332
555	333
443	348
845	353
206	364
874	371
654	379
442	390
344	391
419	392
534	394
439	400
637	773
75	450
539	451
642	452
558	458
737	470
308	871
242	477
176	494
36	496
845	499
406	514
126	516
664	517
326	519
586	521
35	524
434	526
764	529
237	530
518	536
367	689
621	545
149	548
613	549
261	550
676	553
405	556
356	561
272	565
715	566
598	571
489	846
40	578
468	593
244	605
708	608
570	610
611	614
492	618
807	619
85	627
874	630
335	639
559	668
310	670
423	671
558	675
654	679
475	691
666	692
841	695
563	699
542	701
147	702
672	711
432	718
255	728
325	732
714	749
11	753
582	756
623	765
604	766
37	882
65	776
368	777
575	782
75	788
476	791
617	792
600	794
492	798
485	801
826	802
150	815
117	820
781	827
148	831
764	832
257	834
220	835
356	860
406	862
240	863
557	864
375	865
417	868
624	869
652	870
386	875
564	879
202	880
647	881
26	883
229	888
892	889
471	891
12	593
638	364
23	797
837	679
31	183
32	390
38	639
45	287
48	174
59	640
60	192
63	138
73	307
79	177
91	794
102	158
103	868
104	671
138	556
109	701
461	565
132	711
137	556
153	782
156	205
158	695
165	798
168	614
174	550
177	470
179	699
183	862
189	521
797	379
194	882
197	610
198	348
205	753
209	379
211	379
226	327
228	63
245	194
867	79
259	183
260	882
262	671
277	529
282	881
284	556
287	794
291	618
300	794
303	802
324	614
306	868
307	630
312	775
327	287
332	391
333	189
348	394
353	891
364	702
371	524
379	177
390	530
391	48
392	517
394	348
400	333
427	608
450	307
451	675
452	91
458	194
470	802
871	530
477	775
494	548
496	333
499	868
514	499
669	701
517	303
519	614
521	153
524	702
526	333
529	12
530	194
536	883
822	578
545	670
548	549
549	718
550	12
553	699
556	711
561	364
565	870
566	189
571	112
846	45
578	875
593	832
605	553
608	605
610	312
614	868
618	619
619	248
627	73
630	888
639	608
668	765
670	205
671	59
675	332
679	701
691	452
692	521
695	277
699	514
701	670
702	291
711	578
718	640
728	327
732	889
749	12
753	3
756	556
765	834
766	669
882	561
776	103
777	593
782	718
788	566
791	711
792	259
794	561
798	450
801	883
802	38
815	392
820	156
827	259
831	391
832	835
834	179
835	282
860	287
862	307
863	798
864	565
865	189
868	517
869	526
870	835
875	870
879	640
880	348
881	79
883	400
888	390
889	639
891	458
